restaurant_id,service_date,max_temp_c,is_holiday,is_bridge_day,is_business_day,cuisine_type,restaurant_segment,menu_price,menu_starter,menu_main,menu_dessert
13,2021-11-19,11.8,0,0,0,Grill,Gourmet,33.21,Alitas de pollo BBQ,Hamburguesa de ternera con bacon,Tarta de limón
7,2021-04-03,18.4,0,0,0,Spanish,Family,17.44,Ensaladilla rusa,Rabo de toro estofado,Cuajada con miel
12,2023-02-21,9.7,0,0,1,Mediterranean,Traditional,17.84,Gambas al ajillo,Brochetas de pollo con especias,Baklava
13,2021-09-16,32.8,0,0,1,Grill,Gourmet,33.21,Ensalada de rúcula y parmesano,Chuletas de cordero a la brasa,Helado artesano
20,2022-05-24,29.7,0,0,1,Italian,Business,13.01,Supplì al telefono,Pollo alla parmigiana,Semifreddo al limone
4,2022-10-18,20.7,0,0,1,Italian,Business,20.23,Focaccia con romero,Pasta alle vongole,Affogato al caffè
4,2024-08-29,29.7,0,0,1,Italian,Business,20.23,Crostini con paté de trufa,Penne all'arrabbiata,Zabaione con frutti di bosco
2,2025-11-11,15.8,0,0,1,Spanish,Traditional,21.52,Mejillones en escabeche,Cordero asado al horno,Natillas de vainilla
2,2021-12-30,3.7,0,0,1,Spanish,Traditional,21.52,Jamón ibérico con pan tumaca,Fabada asturiana,Arroz con leche
18,2021-08-24,31.2,0,0,1,Mediterranean,Business,14.31,Hummus con pita,Merluza con pisto,Tarta de miel y nueces
1,2025-05-08,24.2,0,0,1,Grill,Gourmet,36.97,Jamón con picos y aceitunas,Burger gourmet con cheddar,Flan de huevo casero
19,2024-07-29,34.0,0,0,1,Grill,Business,20.4,Ensalada de rúcula y parmesano,Chuletón de vaca,Tarta de manzana caliente
12,2023-12-03,10.6,0,0,0,Mediterranean,Traditional,17.84,Ensalada griega,Rape con salsa de azafrán,Baklava
1,2025-01-27,8.9,0,0,1,Grill,Gourmet,36.97,Gambas a la plancha,Entrecot de ternera a la brasa,Flan de huevo casero
3,2025-05-20,27.4,0,0,1,Italian,Business,12.79,Focaccia con romero,Pollo alla parmigiana,Affogato al caffè
13,2021-11-03,18.7,0,0,1,Grill,Gourmet,33.21,Provoleta a la parrilla,Codillo de cerdo asado,Helado artesano
18,2024-11-08,12.1,0,0,0,Mediterranean,Business,14.31,Dolmades de arroz,Brochetas de pollo con especias,Sorbete de naranja
16,2024-04-21,19.7,0,0,0,Grill,Traditional,15.55,Tabla de embutidos ibéricos,Codillo de cerdo asado,Brownie con helado
13,2023-09-30,25.1,0,0,0,Grill,Gourmet,33.21,Tostadas con sobrasada,Secreto ibérico,Bizcocho de zanahoria
13,2025-06-19,32.7,0,0,1,Grill,Gourmet,33.21,Ensalada César,Chuletas de cordero a la brasa,Crema catalana
5,2023-01-24,6.3,0,0,1,Italian,Gourmet,41.17,Bruschetta al pomodoro,Saltimbocca alla romana,Torta della nonna
4,2021-02-17,8.3,0,0,1,Italian,Business,20.23,Antipasto misto,Risotto ai funghi porcini,Affogato al caffè
5,2021-12-09,2.6,0,0,1,Italian,Gourmet,41.17,Antipasto misto,Risotto ai funghi porcini,Gelato misto
19,2025-07-02,31.9,0,0,1,Grill,Business,20.4,Tostadas con sobrasada,Secreto ibérico,Profiteroles con chocolate
10,2023-03-14,6.0,0,0,1,Mediterranean,Gourmet,43.3,Tapenade con tostadas,Dorada a la sal,Tarta de miel y nueces
9,2024-12-30,4.5,0,0,1,Italian,Traditional,16.17,Focaccia con romero,Risotto ai funghi porcini,Cassata siciliana
3,2021-06-04,28.7,0,0,0,Italian,Business,12.79,Carpaccio di manzo,Pollo alla parmigiana,Torta della nonna
7,2022-06-01,33.0,0,0,1,Spanish,Family,17.44,Patatas bravas,Albóndigas en salsa,Tarta de queso con membrillo
5,2025-10-12,17.2,0,0,0,Italian,Gourmet,41.17,Prosciutto con melón,Pasta alle vongole,Cassata siciliana
7,2025-08-27,31.6,0,0,1,Spanish,Family,17.44,Boquerones en vinagre,Pescado a la sal,Natillas de vainilla
19,2022-12-28,6.2,0,0,1,Grill,Business,20.4,Ensalada César,Secreto ibérico,Coulant de chocolate
11,2024-01-22,7.3,0,0,1,Italian,Traditional,18.4,Burrata con tomate,Pasta alla carbonara,Cannoli siciliani
14,2024-11-01,15.3,0,0,0,Spanish,Traditional,13.82,Boquerones en vinagre,Fabada asturiana,Crema de naranja
1,2023-07-18,37.5,0,0,1,Grill,Gourmet,36.97,Alitas de pollo BBQ,Solomillo con salsa de pimienta,Tarta de manzana caliente
8,2021-05-21,31.4,0,0,0,Mediterranean,Family,19.25,Tabla de quesos mediterráneos,Moussaka tradicional,Crema de pistachos
18,2025-07-12,31.5,0,0,0,Mediterranean,Business,14.31,Dolmades de arroz,Brochetas de pollo con especias,Peras al vino con especias
16,2022-12-22,11.3,0,0,1,Grill,Traditional,15.55,Croquetas de jamón,Chuletas de cordero a la brasa,Brownie con helado
12,2025-03-05,11.6,0,0,1,Mediterranean,Traditional,17.84,Hummus con pita,Brochetas de pollo con especias,Halvah de sésamo
8,2022-03-31,18.5,0,0,1,Mediterranean,Family,19.25,Calamares a la romana,Kebab de cordero con cous cous,Naranjas con canela y menta
14,2023-05-10,28.6,0,0,1,Spanish,Traditional,13.82,Pan con tomate y jamón,Cocido madrileño,Tarta de queso con membrillo
8,2024-03-22,12.6,0,0,0,Mediterranean,Family,19.25,Ensalada de pulpo,Merluza con pisto,Mousse de limón
12,2024-03-18,15.3,0,0,1,Mediterranean,Traditional,17.84,Hummus con pita,Tagine de cordero con ciruelas,Halvah de sésamo
17,2021-09-23,21.6,0,0,1,Mediterranean,Traditional,16.06,Tabla de quesos mediterráneos,Dorada a la sal,Naranjas con canela y menta
2,2023-11-20,2.6,0,0,1,Spanish,Traditional,21.52,Patatas bravas,Bacalao al pil pil,Filloas con nata
17,2025-04-04,11.7,0,0,0,Mediterranean,Traditional,16.06,Falafel con salsa tahini,Dorada a la sal,Baklava
10,2022-11-01,10.3,0,0,1,Mediterranean,Gourmet,43.3,Ensalada griega,Dorada al horno con patatas,Yogur griego con miel
11,2022-02-01,5.5,0,0,1,Italian,Traditional,18.4,Burrata con tomate,Saltimbocca alla romana,Zabaione con frutti di bosco
2,2022-02-08,5.0,0,0,1,Spanish,Traditional,21.52,Boquerones en vinagre,Bacalao al pil pil,Buñuelos de viento
11,2023-05-16,30.4,0,0,1,Italian,Traditional,18.4,Supplì al telefono,Gnocchi al gorgonzola,Semifreddo al limone
16,2023-07-13,36.6,0,0,1,Grill,Traditional,15.55,Nachos con guacamole,Lomo bajo con chimichurri,Flan de huevo casero
2,2022-04-15,23.2,0,0,0,Spanish,Traditional,21.52,Mejillones en escabeche,Paella valenciana,Tarta de Santiago
20,2025-07-18,31.2,0,0,0,Italian,Business,13.01,Focaccia con romero,Saltimbocca alla romana,Panna cotta
20,2021-09-04,26.5,0,0,0,Italian,Business,13.01,Bruschetta al pomodoro,Gnocchi al gorgonzola,Cassata siciliana
9,2022-10-31,14.9,0,0,1,Italian,Traditional,16.17,Bruschetta al pomodoro,Penne all'arrabbiata,Panna cotta
9,2022-10-13,20.1,0,0,1,Italian,Traditional,16.17,Focaccia con romero,Ossobuco alla milanese,Gelato misto
5,2021-10-02,25.5,0,0,0,Italian,Gourmet,41.17,Carpaccio di manzo,Tagliatelle al ragú,Cannoli siciliani
18,2023-04-01,15.5,0,0,0,Mediterranean,Business,14.31,Hummus con pita,Berenjena rellena de carne,Tarta de miel y nueces
12,2023-03-08,11.8,0,0,1,Mediterranean,Traditional,17.84,Hummus con pita,Moussaka tradicional,Naranjas con canela y menta
2,2022-12-30,3.0,0,0,0,Spanish,Traditional,21.52,Patatas bravas,Bacalao al pil pil,Torrijas
12,2022-04-22,19.7,0,0,0,Mediterranean,Traditional,17.84,Ensalada de pulpo,Dorada a la sal,Tarta de ricotta con miel
2,2024-07-03,35.6,0,0,1,Spanish,Traditional,21.52,Pulpo a la gallega,Pescado a la sal,Crema de naranja
11,2021-02-18,3.4,0,0,1,Italian,Traditional,18.4,Bresaola con rúcula,Tagliatelle al ragú,Semifreddo al limone
7,2024-06-07,26.4,0,0,0,Spanish,Family,17.44,Berberechos al vapor,Pollo en pepitoria,Cuajada con miel
2,2023-02-06,8.5,0,0,1,Spanish,Traditional,21.52,Patatas bravas,Bacalao al pil pil,Leche frita
10,2024-07-13,31.9,0,0,0,Mediterranean,Gourmet,43.3,Hummus con pita,Dorada a la sal,Helado de higos
15,2022-10-29,20.1,0,0,0,Spanish,Business,17.84,Mejillones en escabeche,Albóndigas en salsa,Arroz con leche
16,2023-03-02,9.0,0,0,1,Grill,Traditional,15.55,Croquetas de jamón,Solomillo con salsa de pimienta,Brownie con helado
7,2023-03-10,15.0,0,0,0,Spanish,Family,17.44,Jamón ibérico con pan tumaca,Arroz con bogavante,Natillas de vainilla
19,2022-01-27,11.5,0,0,1,Grill,Business,20.4,Tostadas con sobrasada,Chuletas de cordero a la brasa,Mousse de chocolate
5,2023-03-27,14.6,0,0,1,Italian,Gourmet,41.17,Bruschetta al pomodoro,Tagliatelle al ragú,Torta della nonna
12,2025-11-23,10.8,0,0,0,Mediterranean,Traditional,17.84,Pan de pita con labneh,Merluza con pisto,Naranjas con canela y menta
7,2024-03-31,18.7,0,0,0,Spanish,Family,17.44,Jamón ibérico con pan tumaca,Pollo en pepitoria,Buñuelos de viento
3,2024-05-23,30.1,0,0,1,Italian,Business,12.79,Insalata caprese,Risotto ai funghi porcini,Torta della nonna
12,2023-11-07,9.4,0,0,1,Mediterranean,Traditional,17.84,Gambas al ajillo,Moussaka tradicional,Baklava
12,2023-01-03,10.3,0,0,1,Mediterranean,Traditional,17.84,Gambas al ajillo,Merluza con pisto,Tarta de ricotta con miel
20,2021-10-23,17.2,0,0,0,Italian,Business,13.01,Zuppa di cipolle,Gnocchi al gorgonzola,Cassata siciliana
16,2024-07-02,34.8,0,0,1,Grill,Traditional,15.55,Provoleta a la parrilla,Hamburguesa de ternera con bacon,Crema catalana
9,2022-08-27,29.1,0,0,0,Italian,Traditional,16.17,Crostini con paté de trufa,Lasagna bolognese,Gelato misto
18,2023-01-18,6.0,0,0,1,Mediterranean,Business,14.31,Calamares a la romana,Kebab de cordero con cous cous,Baklava
1,2025-04-26,18.2,0,0,0,Grill,Gourmet,36.97,Pimientos asados con anchoas,Solomillo con salsa de pimienta,Crema catalana
19,2022-09-13,27.6,0,0,1,Grill,Business,20.4,Alitas de pollo BBQ,Chuletón de vaca,Tarta de manzana caliente
2,2023-07-08,34.8,0,0,0,Spanish,Traditional,21.52,Pulpo a la gallega,Callos a la madrileña,Buñuelos de viento
1,2021-11-09,10.8,0,0,1,Grill,Gourmet,36.97,Croquetas de jamón,Pollo asado con patatas,Tarta de limón
15,2023-04-27,21.5,0,0,1,Spanish,Business,17.84,Croquetas de bacalao,Bacalao al pil pil,Flan casero
4,2024-02-01,5.4,0,0,1,Italian,Business,20.23,Bresaola con rúcula,Pasta alla carbonara,Tiramisú
10,2021-10-04,19.2,0,0,1,Mediterranean,Gourmet,43.3,Espárragos a la plancha,Pez espada a la plancha,Yogur griego con miel
2,2022-06-16,30.6,0,0,1,Spanish,Traditional,21.52,Pulpo a la gallega,Rabo de toro estofado,Tarta de Santiago
4,2022-10-04,18.7,0,0,1,Italian,Business,20.23,Antipasto misto,Ossobuco alla milanese,Panna cotta
20,2023-06-29,37.0,0,0,1,Italian,Business,13.01,Supplì al telefono,Lasagna bolognese,Semifreddo al limone
1,2024-07-15,34.1,0,0,1,Grill,Gourmet,36.97,Carpaccio de ternera,Chuletas de cordero a la brasa,Profiteroles con chocolate
19,2025-04-07,23.2,0,0,1,Grill,Business,20.4,Tabla de embutidos ibéricos,Presa ibérica a la parrilla,Profiteroles con chocolate
20,2025-01-10,2.8,0,0,0,Italian,Business,13.01,Antipasto misto,Pizza margherita,Cannoli siciliani
19,2025-08-01,34.0,0,0,0,Grill,Business,20.4,Ensalada César,Chuletas de cordero a la brasa,Coulant de chocolate
7,2025-04-01,18.4,0,0,1,Spanish,Family,17.44,Mejillones en escabeche,Albóndigas en salsa,Tarta de Santiago
3,2024-08-31,30.2,0,0,0,Italian,Business,12.79,Carpaccio di manzo,Ossobuco alla milanese,Cassata siciliana
9,2025-08-18,34.8,0,0,1,Italian,Traditional,16.17,Crostini con paté de trufa,Tagliatelle al ragú,Torta della nonna
11,2024-12-01,6.9,0,0,0,Italian,Traditional,18.4,Insalata caprese,Risotto ai funghi porcini,Torta della nonna
3,2025-03-08,8.2,0,0,0,Italian,Business,12.79,Bruschetta al pomodoro,Risotto ai funghi porcini,Gelato misto
12,2021-05-11,22.0,0,0,1,Mediterranean,Traditional,17.84,Tzatziki con crudités,Pez espada a la plancha,Tarta de miel y nueces
5,2022-10-08,22.1,0,0,0,Italian,Gourmet,41.17,Zuppa di cipolle,Risotto al limone,Panna cotta
12,2025-08-11,35.8,0,0,1,Mediterranean,Traditional,17.84,Tabla de quesos mediterráneos,Moussaka tradicional,Yogur griego con miel
1,2023-07-16,36.5,0,0,0,Grill,Gourmet,36.97,Ensalada César,Pollo asado con patatas,Coulant de chocolate
3,2023-03-15,9.7,0,0,1,Italian,Business,12.79,Bruschetta al pomodoro,Risotto ai funghi porcini,Panna cotta
16,2023-06-19,34.5,0,0,1,Grill,Traditional,15.55,Nachos con guacamole,Chuletón de vaca,Tarta de manzana caliente
16,2022-01-16,-1.0,0,0,0,Grill,Traditional,15.55,Croquetas de jamón,Chuletón de vaca,Mousse de chocolate
6,2021-10-21,18.4,0,0,1,Mediterranean,Traditional,23.87,Dolmades de arroz,Dorada a la sal,Mousse de limón
11,2024-03-15,15.0,0,0,0,Italian,Traditional,18.4,Focaccia con romero,Lasagna bolognese,Affogato al caffè
19,2024-08-07,29.8,0,0,1,Grill,Business,20.4,Tabla de embutidos ibéricos,Solomillo con salsa de pimienta,Crema catalana
20,2025-08-24,33.6,0,0,0,Italian,Business,13.01,Bresaola con rúcula,Tagliatelle al ragú,Torta della nonna
8,2022-01-07,8.4,0,0,0,Mediterranean,Family,19.25,Hummus con pita,Merluza con pisto,Baklava
16,2021-01-13,8.6,0,0,1,Grill,Traditional,15.55,Nachos con guacamole,Costillas BBQ,Bizcocho de zanahoria
15,2021-01-27,9.2,0,0,1,Spanish,Business,17.84,Pulpo a la gallega,Merluza en salsa verde,Torrijas
11,2022-06-05,33.1,0,0,0,Italian,Traditional,18.4,Prosciutto con melón,Gnocchi al gorgonzola,Gelato misto
17,2022-10-28,19.8,0,0,0,Mediterranean,Traditional,16.06,Tapenade con tostadas,Rape con salsa de azafrán,Helado de higos
13,2023-12-09,8.7,0,0,0,Grill,Gourmet,33.21,Jamón con picos y aceitunas,Costillas BBQ,Brownie con helado
9,2022-05-05,26.7,0,0,1,Italian,Traditional,16.17,Supplì al telefono,Lasagna bolognese,Affogato al caffè
5,2023-07-26,33.9,0,0,1,Italian,Gourmet,41.17,Bresaola con rúcula,Ossobuco alla milanese,Zabaione con frutti di bosco
18,2021-03-29,13.8,0,0,1,Mediterranean,Business,14.31,Falafel con salsa tahini,Lubina al horno con verduras,Mousse de limón
3,2021-09-05,29.5,0,0,0,Italian,Business,12.79,Bresaola con rúcula,Pasta alla carbonara,Gelato misto
9,2023-02-28,13.3,0,0,1,Italian,Traditional,16.17,Carpaccio di manzo,Pasta alla carbonara,Zabaione con frutti di bosco
12,2025-06-16,32.2,0,0,1,Mediterranean,Traditional,17.84,Ensalada griega,Pollo al limón con romero,Lokum de rosa
7,2025-02-27,7.3,0,0,1,Spanish,Family,17.44,Jamón ibérico con pan tumaca,Albóndigas en salsa,Tarta de queso con membrillo
18,2024-10-21,17.2,0,0,1,Mediterranean,Business,14.31,Falafel con salsa tahini,Pollo al limón con romero,Mousse de limón
1,2021-03-25,18.8,0,0,1,Grill,Gourmet,36.97,Jamón con picos y aceitunas,Chuletas de cordero a la brasa,Bizcocho de zanahoria
20,2024-03-06,6.7,0,0,1,Italian,Business,13.01,Burrata con tomate,Saltimbocca alla romana,Tiramisú
2,2022-06-07,34.0,0,0,1,Spanish,Traditional,21.52,Croquetas de bacalao,Cocido madrileño,Natillas de vainilla
16,2025-11-16,12.8,0,0,0,Grill,Traditional,15.55,Alitas de pollo BBQ,Costillas BBQ,Helado artesano
13,2023-10-25,10.4,0,0,1,Grill,Gourmet,33.21,Gambas a la plancha,Codillo de cerdo asado,Tarta de limón
4,2024-11-05,15.1,0,0,1,Italian,Business,20.23,Supplì al telefono,Gnocchi al gorgonzola,Panna cotta al caramello
4,2021-08-08,32.4,0,0,0,Italian,Business,20.23,Supplì al telefono,Pizza margherita,Panna cotta
11,2024-12-16,5.8,0,0,1,Italian,Traditional,18.4,Crostini con paté de trufa,Gnocchi al gorgonzola,Cannoli siciliani
17,2021-02-17,8.3,0,0,1,Mediterranean,Traditional,16.06,Ensalada griega,Kebab de cordero con cous cous,Sorbete de naranja
19,2024-07-23,34.7,0,0,1,Grill,Business,20.4,Nachos con guacamole,Chuletas de cordero a la brasa,Cheesecake de frutos rojos
18,2023-04-24,21.0,0,0,1,Mediterranean,Business,14.31,Hummus con pita,Pez espada a la plancha,Yogur griego con miel
