day_of_week,month,max_temp_c,is_holiday,is_business_day,restaurant_id,cuisine_type,restaurant_segment,first_course,second_course,dessert
4,1,6.4,1,0,1,Grill,Gourmet,Sopa de cebolla,Costillas BBQ,Tarta de manzana
4,1,6.4,1,0,2,Spanish,Traditional,Sopa castellana,Filete de ternera,Arroz con leche
4,1,6.4,1,0,3,Italian,Business,Tortellini nata,Lasagna,Tiramisú
4,1,6.4,1,0,4,Italian,Business,Minestrone,Risotto de setas,Profiteroles
4,1,6.4,1,0,5,Italian,Gourmet,Tortellini nata,Lasagna,Profiteroles
4,1,6.4,1,0,6,Mediterranean,Traditional,Falafel,Pollo al horno,Macedonia
4,1,6.4,1,0,7,Spanish,Family,Sopa castellana,Carrilleras al vino,Arroz con leche
4,1,6.4,1,0,8,Mediterranean,Family,Sopa de marisco,Salmón plancha,Sorbete
4,1,6.4,1,0,9,Italian,Traditional,Tortellini nata,Escalope Milanese,Panna Cotta
4,1,6.4,1,0,10,Mediterranean,Gourmet,Berenjena rellena,Pollo al horno,Fruta
4,1,6.4,1,0,11,Italian,Traditional,Minestrone,Pizza Margarita,Profiteroles
4,1,6.4,1,0,12,Mediterranean,Traditional,Falafel,Brochetas de pavo,Sorbete
4,1,6.4,1,0,13,Grill,Gourmet,Sopa de cebolla,Hamburguesa Gourmet,Cheesecake
4,1,6.4,1,0,14,Spanish,Traditional,Potaje de garbanzos,Filete de ternera,Arroz con leche
4,1,6.4,1,0,15,Spanish,Business,Crema de verduras,Filete de ternera,Fruta
4,1,6.4,1,0,16,Grill,Traditional,Sopa de cebolla,Secreto Ibérico,Brownie
4,1,6.4,1,0,17,Mediterranean,Traditional,Falafel,Lubina,Sorbete
4,1,6.4,1,0,18,Mediterranean,Business,Sopa de marisco,Brochetas de pavo,Macedonia
4,1,6.4,1,0,19,Grill,Business,Nachos con queso,Secreto Ibérico,Brownie
4,1,6.4,1,0,20,Italian,Business,Minestrone,Pizza Margarita,Gelato
5,1,5.9,0,0,1,Grill,Gourmet,Nachos con queso,Costillas BBQ,Tarta de manzana
5,1,5.9,0,0,2,Spanish,Traditional,Sopa castellana,Filete de ternera,Arroz con leche
5,1,5.9,0,0,3,Italian,Business,Minestrone,Lasagna,Tiramisú
5,1,5.9,0,0,4,Italian,Business,Sopa de tomate,Risotto de setas,Gelato
5,1,5.9,0,0,5,Italian,Gourmet,Tortellini nata,Lasagna,Profiteroles
5,1,5.9,0,0,6,Mediterranean,Traditional,Sopa de marisco,Pollo al horno,Macedonia
5,1,5.9,0,0,7,Spanish,Family,Sopa castellana,Carrilleras al vino,Fruta
5,1,5.9,0,0,8,Mediterranean,Family,Berenjena rellena,Lubina,Macedonia
5,1,5.9,0,0,9,Italian,Traditional,Tortellini nata,Escalope Milanese,Panna Cotta
5,1,5.9,0,0,10,Mediterranean,Gourmet,Falafel,Pollo al horno,Yogur con miel
5,1,5.9,0,0,11,Italian,Traditional,Minestrone,Pizza Margarita,Tiramisú
5,1,5.9,0,0,12,Mediterranean,Traditional,Crema de calabacín,Brochetas de pavo,Fruta
5,1,5.9,0,0,13,Grill,Gourmet,Nachos con queso,Entrecot,Batido
5,1,5.9,0,0,14,Spanish,Traditional,Potaje de garbanzos,Filete de ternera,Arroz con leche
5,1,5.9,0,0,15,Spanish,Business,Crema de verduras,Merluza a la romana,Fruta
5,1,5.9,0,0,16,Grill,Traditional,Sopa de cebolla,Entrecot,Brownie
5,1,5.9,0,0,17,Mediterranean,Traditional,Falafel,Lubina,Sorbete
5,1,5.9,0,0,18,Mediterranean,Business,Falafel,Brochetas de pavo,Fruta
5,1,5.9,0,0,19,Grill,Business,Nachos con queso,Secreto Ibérico,Brownie
5,1,5.9,0,0,20,Italian,Business,Sopa de tomate,Pizza Margarita,Gelato
6,1,6.3,0,0,1,Grill,Gourmet,Champiñones,Costillas BBQ,Tarta de manzana
6,1,6.3,0,0,2,Spanish,Traditional,Lentejas estofadas,Tortilla de patata,Flan
6,1,6.3,0,0,3,Italian,Business,Tortellini nata,Pizza Margarita,Profiteroles
6,1,6.3,0,0,4,Italian,Business,Minestrone,Risotto de setas,Gelato
6,1,6.3,0,0,5,Italian,Gourmet,Tortellini nata,Lasagna,Profiteroles
6,1,6.3,0,0,6,Mediterranean,Traditional,Falafel,Lubina,Macedonia
6,1,6.3,0,0,7,Spanish,Family,Lentejas estofadas,Tortilla de patata,Flan
6,1,6.3,0,0,8,Mediterranean,Family,Berenjena rellena,Salmón plancha,Yogur con miel
6,1,6.3,0,0,9,Italian,Traditional,Tortellini nata,Escalope Milanese,Panna Cotta
6,1,6.3,0,0,10,Mediterranean,Gourmet,Falafel,Pollo al horno,Fruta
6,1,6.3,0,0,11,Italian,Traditional,Sopa de tomate,Pizza Margarita,Tiramisú
6,1,6.3,0,0,12,Mediterranean,Traditional,Crema de calabacín,Pollo al horno,Fruta
6,1,6.3,0,0,13,Grill,Gourmet,Alitas BBQ,Entrecot,Cheesecake
6,1,6.3,0,0,14,Spanish,Traditional,Potaje de garbanzos,Filete de ternera,Arroz con leche
6,1,6.3,0,0,15,Spanish,Business,Sopa castellana,Carrilleras al vino,Natillas
6,1,6.3,0,0,16,Grill,Traditional,Champiñones,Secreto Ibérico,Brownie
6,1,6.3,0,0,17,Mediterranean,Traditional,Falafel,Salmón plancha,Sorbete
